x,y,u,v,S
11.020965,13.827845,0.964062,0.000662,5.452071
10.469917,13.373728,0.915625,0.000492,5.390924
11.020965,14.329984,0.963626,0.000597,5.330413
11.020965,14.669918,0.963423,0.000608,5.250686
10.469917,14.181042,0.915136,0.000595,5.191587
11.020965,15.187413,0.963210,0.000842,5.133060
11.020965,15.537370,0.963043,0.000905,5.055560
11.020965,15.891209,0.962814,0.000668,4.978646
10.469917,15.351021,0.914506,0.000600,4.921590
11.020965,16.429070,0.962473,0.000693,4.865097
10.469917,15.865957,0.914230,0.000670,4.809422
11.020965,16.975208,0.962330,0.000789,4.754819
11.020965,17.343752,0.962381,0.000937,4.683315
10.469917,16.741212,0.914225,0.000857,4.630029
11.020965,17.903021,0.962208,0.000629,4.576861
10.890750,-16.736033,0.914850,0.000133,4.581684
11.463947,-17.337161,0.963300,0.000245,4.634684
11.463947,-16.967121,0.963704,0.000391,4.706287
10.890750,-15.857232,0.915784,0.000288,4.760546
11.463947,-16.418805,0.964195,0.000203,4.814966
10.890750,-15.340267,0.916128,0.000353,4.869633
11.463947,-15.878859,0.964444,0.000647,4.924478
11.463947,-15.523689,0.964579,0.000447,4.998379
10.890750,-14.496776,0.916524,-0.000167,5.054764
11.463947,-14.998332,0.965031,-0.000837,5.111983
11.463947,-14.653139,0.965354,-0.001563,5.188758
11.463947,-14.312067,0.965511,-0.002197,5.265293
10.890750,-13.355933,0.917299,-0.002276,5.322818
11.463947,-13.808338,0.965761,-0.002632,5.381226
11.463947,-13.477866,0.966020,-0.002913,5.459637
11.463947,-13.151742,0.966129,-0.003080,5.537601
11.463947,-12.830024,0.966228,-0.003492,5.615822
10.890750,-11.961942,0.917940,-0.003232,5.674378
11.463947,-12.355823,0.966311,-0.003173,5.733139
11.463947,-12.045343,0.966561,-0.003332,5.812658
11.463947,-11.739440,0.966873,-0.003454,5.892576
11.463947,-11.438154,0.967172,-0.003152,5.972350
11.463947,-11.141520,0.967469,-0.002689,6.051959
11.463947,-10.849575,0.967714,-0.002510,6.130991
11.463947,-10.562347,0.968031,-0.002832,6.210138
11.668661,-10.392561,0.985751,-0.003321,6.308554
11.463947,-9.865084,0.968885,-0.003663,6.406227
11.463947,-9.594554,0.969221,-0.004094,6.483502
11.463947,-9.328835,0.969500,-0.004473,6.559598
11.463947,-9.067935,0.969777,-0.004649,6.634769
11.668661,-8.905084,0.987366,-0.004622,6.726693
11.463947,-8.436820,0.970312,-0.004494,6.817012
11.668661,-8.278067,0.987994,-0.004692,6.905850
11.463947,-7.835893,0.971080,-0.004656,6.993269
11.668661,-7.681739,0.988789,-0.004394,7.077911
11.463947,-7.265046,0.971844,-0.003815,7.160637
11.668661,-7.115919,0.989571,-0.003215,7.240489
